Title,Genre,Premiere,Runtime,IMDB Score,Language,Day Released
Things Heard & Seen,Horror,4/29/2021,121,5.3,English,Thursday
"To Each, Her Own",Romantic comedy,6/24/2018,95,5.3,French,Sunday
Who Would You Take to a Deserted Island?,Drama,4/12/2019,93,5.3,Spanish,Friday
XOXO,Drama,8/26/2016,92,5.3,English,Friday
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,10/15/2020,98,5.4,English,Thursday
A Christmas Prince: The Royal Baby,Romantic comedy,12/5/2019,85,5.4,English,Thursday
Despite Everything,Comedy,5/3/2019,78,5.4,Spanish,Friday
Dolly Kitty and Those Twinkling Stars,Drama,9/18/2020,120,5.4,Hindi,Friday
Freaks: You're One of Us,Supernatural drama,9/2/2020,92,5.4,German,Wednesday
"Game Over, Man!",Action/Comedy,3/23/2018,101,5.4,English,Friday
Guilty,Thriller,3/6/2020,119,5.4,Hindi,Friday
In the Tall Grass,Horror,10/4/2019,101,5.4,English,Friday
Madame Claude,Drama,4/2/2021,112,5.4,French,Friday
Naked,Comedy,8/11/2017,96,5.4,English,Friday
Outside the Wire,Action/Science fiction,1/15/2021,114,5.4,English,Friday
The Princess Switch: Switched Again,Romantic comedy,11/19/2020,97,5.4,English,Thursday
Under the Riccione Sun,Romantic teenage drama,7/1/2020,101,5.4,Italian,Wednesday
A Very Murray Christmas,Comedy / Musical,12/4/2015,56,5.5,English,Friday
Been So Long,Musical,10/26/2018,100,5.5,English,Friday
Dead Kids,Thriller,12/1/2019,94,5.5,Filipino,Sunday
Get the Grift,Comedy,4/28/2021,94,5.5,Portuguese,Wednesday
Ghosts of Sugar Land,Documentary,10/16/2019,21,5.5,English,Wednesday
House Arrest,Comedy,11/15/2019,104,5.5,Hindi,Friday
Kevin Hart's Guide to Black History,Variety show,2/8/2019,63,5.5,English,Friday
Love Wedding Repeat,Romantic comedy,4/10/2020,100,5.5,English,Friday
Mute,Science fiction/Mystery,2/23/2018,126,5.5,English,Friday
Òlòt?ré,Crime drama,10/2/2020,106,5.5,English,Friday
Red Dot,Thriller,2/11/2021,86,5.5,Swedish,Thursday
Ride or Die,Psychological thriller drama,4/15/2021,142,5.5,Japanese,Thursday
Step Sisters,Comedy,1/19/2018,108,5.5,English,Friday
The Cloverfield Paradox,Science fiction,2/4/2018,102,5.5,English,Sunday
